,First,Longitude,Latitude,Longitude_difference,Latitude_difference,distance(km),month
0,2023-06-08 20:18:48,126.214,25.105,-0.1490000000000009,-0.2010000000000005,110.66681631548155,6
1,2023-06-11 20:13:48,127.114,25.679,0.5990000000000038,1.0079999999999991,127.26482469108832,6
2,2023-06-12 10:48:48,126.515,24.671,0.09900000000000375,-0.13100000000000023,17.667705069034483,6
3,2023-06-12 20:18:48,126.416,24.802,0.5990000000000038,1.0210000000000008,212.80762479758138,6
4,2023-06-16 20:18:48,127.503,23.166,0.597999999999999,1.033999999999999,130.3268021263135,6
5,2023-06-17 10:42:48,126.905,22.132,0.09799999999999898,-0.1559999999999988,548.3411277377606,6
6,2023-07-15 20:26:48,125.811,26.962,-0.6369999999999862,-1.1600000000000001,246.66384778633667,7
7,2023-07-28 20:41:48,124.93,24.89,0.1290000000000049,0.12300000000000111,18.882151126877886,7
8,2023-07-29 10:51:48,124.801,24.767,0.0040000000000048885,-0.15200000000000102,16.90644751075181,7
9,2023-07-29 20:42:48,124.797,24.919,0.6299999999999955,1.1799999999999997,145.91203293819132,7
10,2023-07-30 10:51:48,124.167,23.739,-0.6189999999999998,1.2029999999999994,147.98497492286708,7
11,2023-07-30 20:47:48,124.786,22.536,-0.24399999999999977,-0.6769999999999996,79.32090579398192,7
12,2023-07-31 10:46:48,125.03,23.213,0.257000000000005,-0.7079999999999984,82.96911235856747,7
13,2023-07-31 20:45:48,124.773,23.921,-0.3680000000000092,-0.9430000000000014,111.2822555125044,7
14,2023-08-01 10:48:48,125.141,24.864,0.13300000000000978,-0.44099999999999895,131.6542773283391,8
15,2023-08-04 20:40:48,126.321,24.363,0.262999999999991,0.43400000000000105,55.14531938518733,8
16,2023-08-05 10:40:48,126.058,23.929,-0.36199999999999477,0.6789999999999985,291.10300381443983,8
17,2023-08-11 10:34:48,125.485,21.365,-0.6039999999999992,1.4909999999999997,537.2399914105912,8
18,2023-10-24 09:49:48,120.342,22.086,-0.35899999999999466,-1.4430000000000014,164.6193923109715,10
19,2023-10-24 21:35:48,120.701,23.529,-0.11000000000001364,0.8979999999999997,100.48504025352054,10
20,2023-10-25 09:46:48,120.811,22.631,0.26400000000001,1.615000000000002,182.03110961347764,10
21,2023-10-27 21:34:48,120.748,20.995,0.13500000000000512,-0.3200000000000003,183.66732577326218,10
22,2023-11-02 09:44:48,120.929,19.352,0.12600000000000477,0.6960000000000015,78.51718641817702,11
23,2023-11-02 21:34:48,120.803,18.656,0.0,0.19599999999999795,21.794205622333283,11
24,2023-11-03 09:45:48,120.803,18.46,0.125,0.6620000000000026,74.78683394323812,11
25,2023-11-03 21:34:48,120.678,17.798,-0.3760000000000048,1.5899999999999999,84.9847101486623,11
26,2023-11-06 21:36:48,120.7,18.562,0.3689999999999998,-1.1080000000000005,129.15937201445234,11
27,2023-11-07 09:44:48,120.331,19.67,-0.38299999999999557,-1.1289999999999978,131.74496351165467,11
28,2023-11-07 21:39:48,120.714,20.799,-0.13299999999999557,0.6359999999999992,72.06419139142524,11
29,2023-11-08 09:41:48,120.847,20.163,0.11499999999999488,0.5640000000000001,245.8180764296721,11
30,2023-11-11 09:42:48,121.042,17.96,-0.1389999999999958,-0.3059999999999974,37.06136989801111,11
31,2023-11-11 21:36:48,121.181,18.266,0.35899999999999466,-0.9920000000000009,116.60145302981847,11
32,2023-11-12 09:41:48,120.822,19.258,-0.015999999999991132,0.09399999999999764,87.327321056942,11
33,2023-11-14 21:43:48,120.038,18.997,-0.1460000000000008,0.5680000000000014,65.00346622272711,11
34,2023-11-15 09:44:48,120.184,18.429,-0.27200000000000557,-0.6820000000000022,81.06155384141461,11
35,2023-11-15 21:42:48,120.456,19.111,-0.14799999999999613,0.5620000000000012,64.40345841152866,11
36,2023-11-16 09:42:48,120.604,18.549,-0.27299999999999613,-0.6780000000000008,80.67586432430001,11
37,2023-11-16 21:41:48,120.877,19.227,0.4749999999999943,-1.2459999999999987,147.18593642937986,11
38,2023-11-17 09:40:48,120.402,20.473,0.09999999999999432,0.4139999999999979,47.201710869166575,11
39,2023-11-17 21:45:48,120.302,20.059,-0.026999999999986812,0.19900000000000162,22.307003006903177,11
40,2023-11-18 09:41:48,120.329,19.86,-0.15200000000000102,-0.30700000000000216,37.65007928952175,11
41,2023-11-18 21:45:48,120.481,20.167,-0.028000000000005798,0.19900000000000162,22.320202223103987,11
42,2023-11-19 09:40:48,120.509,19.968,0.22100000000000364,0.7330000000000005,84.72968784855522,11
43,2023-11-19 21:45:48,120.288,19.235,0.09600000000000364,-0.15300000000000225,19.77178535038792,11
44,2023-11-20 09:42:48,120.192,19.388,-0.5310000000000059,-1.3419999999999987,159.19676466190558,11
45,2023-11-20 21:46:48,120.723,20.73,-0.1560000000000059,0.5390000000000015,62.09846706341343,11
46,2023-11-21 09:38:48,120.879,20.191,0.3430000000000035,1.036999999999999,120.7722805583951,11
47,2023-11-21 21:45:48,120.536,19.154,0.21699999999999875,-0.4819999999999993,58.2283413653028,11
48,2023-11-22 09:41:48,120.319,19.636,-0.2839999999999918,-0.6550000000000011,78.64853731928706,11
49,2023-11-22 21:47:48,120.603,20.291,-0.1600000000000108,0.527000000000001,60.93707630693622,11
50,2023-11-23 09:39:48,120.763,19.764,0.09000000000000341,0.3359999999999985,38.53266881593152,11
51,2023-11-23 21:46:48,120.673,19.428,-0.16199999999999193,0.5199999999999996,60.272830521346336,11
52,2023-11-24 09:40:48,120.835,18.908,-0.03700000000000614,-0.006999999999997897,3.9691957659042107,11
