,index,First,Longitude,Latitude,Longitude_difference,Latitude_difference,Month,class
56,56,2023-07-07 11:03:00,125.235,26.932,-0.519999999999996,0.782,7,1.0
57,57,2023-07-07 20:25:00,125.755,26.15,-0.26900000000000546,-0.5010000000000012,7,1.0
58,58,2023-07-08 10:59:00,126.024,26.651,-0.019000000000005457,-0.03399999999999892,7,1.0
59,59,2023-07-08 20:23:00,126.043,26.685,-0.39399999999999125,-0.7010000000000005,7,1.0
60,60,2023-07-09 10:59:00,126.437,27.386,-0.14300000000000068,0.1609999999999978,7,1.0
61,61,2023-07-09 20:20:00,126.58,27.225,0.10899999999999466,0.10700000000000287,7,1.0
62,62,2023-07-10 10:58:00,126.471,27.118,1.8599999999999994,-2.9810000000000016,7,1.0
63,63,2023-07-10 20:21:01,124.611,30.099,-0.6419999999999959,-1.0300000000000011,7,1.0
64,64,2023-07-11 11:13:01,125.253,31.129,-1.7660000000000053,2.607000000000003,7,1.0
65,65,2023-07-11 20:16:01,127.019,28.522,1.1090000000000089,1.7159999999999975,7,1.0
66,66,2023-07-12 10:59:01,125.91,26.806,-0.39000000000000057,0.5740000000000016,7,1.0
67,67,2023-07-12 20:25:01,126.3,26.232,-0.14000000000000057,-0.31599999999999895,7,1.0
68,68,2023-07-13 10:56:01,126.44,26.548,0.6099999999999994,-1.0980000000000025,7,1.0
69,69,2023-07-13 20:24:01,125.83,27.646,0.36299999999999955,0.5139999999999993,7,1.0
70,70,2023-07-14 11:01:01,125.467,27.132,0.23900000000000432,-0.48499999999999943,7,1.0
71,71,2023-07-14 20:27:02,125.228,27.617,-0.6380000000000052,-1.131999999999998,7,1.0
72,72,2023-07-15 11:03:02,125.866,28.749,-0.26200000000000045,0.3309999999999995,7,1.0
73,73,2023-07-15 20:22:02,126.128,28.418,-0.13700000000000045,-0.3180000000000014,7,1.0
74,74,2023-07-16 11:01:02,126.265,28.736,-2.01100000000001,3.3240000000000016,7,1.0
75,75,2023-07-16 20:21:02,128.276,25.412,0.8640000000000043,1.471,7,1.0
76,76,2023-07-17 10:45:02,127.412,23.941,2.8670000000000044,-5.084,7,1.0
77,77,2023-07-17 20:28:02,124.545,29.025,0.49200000000000443,0.7089999999999996,7,1.0
78,78,2023-07-18 11:08:03,124.053,28.316,-1.6340000000000003,2.733999999999998,7,1.0
79,79,2023-07-18 20:32:03,125.687,25.582,-0.5079999999999956,-1.0090000000000003,7,1.0
80,80,2023-07-19 10:55:03,126.195,26.591,0.3669999999999902,-0.7509999999999977,7,1.0
81,81,2023-07-19 20:28:03,125.828,27.342,-0.006999999999990791,-0.12199999999999989,7,1.0
82,82,2023-07-20 10:58:03,125.835,27.464,8.867999999999995,-12.820999999999998,7,1.0
83,83,2023-07-20 20:28:03,116.967,40.285,2.617999999999995,3.0899999999999963,7,1.0
84,84,2023-07-21 12:09:03,114.349,37.195,-9.628,15.774999999999999,7,1.0
85,85,2023-07-21 20:49:03,123.977,21.42,-1.1280000000000001,-2.3459999999999965,7,1.0
86,86,2023-07-22 10:52:04,125.105,23.766,-0.12899999999999068,0.14099999999999824,7,1.0
87,87,2023-07-22 20:40:04,125.234,23.625,-1.2540000000000049,-2.5070000000000014,7,1.0
88,88,2023-07-23 10:51:04,126.488,26.132,0.4969999999999999,-1.036999999999999,7,1.0
89,89,2023-07-23 20:30:04,125.991,27.169,0.37300000000000466,0.559000000000001,7,1.0
90,90,2023-07-24 10:55:04,125.618,26.61,-0.25200000000000955,0.3440000000000012,7,1.0
91,91,2023-07-24 20:33:04,125.87,26.266,-0.12699999999999534,-0.365000000000002,7,1.0
92,92,2023-07-25 10:53:04,125.997,26.631,0.5019999999999953,-1.0629999999999988,7,1.0
93,93,2023-07-25 20:32:04,125.495,27.694,-0.12299999999999045,-0.3620000000000019,7,1.0
