,First,Longitude,Latitude,Longitude_difference,Latitude_difference,Latitdue_zlevel,Longitdue_zlevel,Month,class
350,2023-12-23 09:50:48,120.556,18.599,0.3130000000000024,0.7050000000000018,0.06383042957333894,-0.30556998571205524,12,1.0
353,2023-12-24 21:59:48,120.866,17.339,0.4380000000000024,-1.0080000000000027,-0.023711048849706803,-0.24021107150812146,12,1.0
366,2023-12-31 09:56:48,120.409,18.014,-1.5589999999999975,-3.591000000000001,0.023186171734067694,-0.33656276115714434,12,1.0
367,2023-12-31 22:05:48,121.968,21.605,-0.0589999999999975,0.09600000000000009,0.27267938523974783,-0.007870673273493283,12,1.0
371,2024-01-02 22:05:48,120.702,18.314,-0.058000000000006935,0.09700000000000131,0.04402938088241194,-0.27478804547407354,1,1.0
374,2024-01-04 09:58:48,120.499,18.004,0.31799999999999784,0.713000000000001,0.022491398095789695,-0.317587592517295,1,1.0
389,2024-01-11 22:08:48,120.795,18.948,0.3260000000000076,-0.8769999999999989,0.08807802954924604,-0.25518037121289283,1,1.0
393,2024-01-13 22:11:48,120.236,19.238,-0.17099999999999227,0.352999999999998,0.10822646505931205,-0.3730372519870817,1,1.0
407,2024-01-20 22:12:48,119.942,18.851,-0.6610000000000014,1.718,0.081338725257948,-0.4350228028772659,1,1.0
409,2024-01-21 22:07:48,121.138,18.714,0.3410000000000082,-1.0530000000000008,0.07182032641353744,-0.18286389517434656,1,1.0
410,2024-01-22 10:05:48,120.797,19.767,0.09099999999999397,0.13799999999999812,0.14497999052422564,-0.2547587007986749,1,1.0
425,2024-01-29 22:11:48,120.088,19.24,-0.5210000000000008,1.5009999999999977,0.10836541978696759,-0.40424086263928427,1,1.0
430,2024-02-01 10:09:48,120.809,21.185,0.3580000000000041,0.9939999999999998,0.24349889243206585,-0.25222867831336127,2,1.0
434,2024-02-03 10:12:48,121.246,18.122,0.36199999999999477,1.093,0.030689727027471643,-0.16009369280652677,2,1.0
439,2024-02-05 22:09:48,120.304,19.939,-0.25900000000000034,0.7439999999999998,0.1569300971026097,-0.3587004579036387,2,1.0
444,2024-02-08 10:17:48,120.091,20.022,-0.13000000000000966,-0.7220000000000013,0.16269671830031815,-0.40360835701795583,2,1.0
449,2024-02-10 22:06:48,120.482,19.684,-0.125,0.28300000000000125,0.1392133693265172,-0.321171791038155,2,1.0
452,2024-02-12 10:20:48,119.981,19.359,0.000999999999990564,-0.24199999999999733,0.1166332260824777,-0.4268002297999966,2,1.0
453,2024-02-12 22:07:48,119.98,19.601,-0.2469999999999999,0.8320000000000007,0.1334467481288085,-0.42701106500710406,2,1.0
456,2024-02-14 10:19:48,120.345,19.849,0.25499999999999545,0.8960000000000008,0.15067713435810645,-0.3500562144121514,2,1.0
460,2024-02-16 10:17:48,120.821,21.03,0.38299999999999557,1.5600000000000023,0.23272990103875485,-0.24969865582804762,2,1.0
465,2024-02-18 22:02:48,120.524,20.087,0.01099999999999568,-0.4059999999999988,0.16721274694912613,-0.31231671233955727,2,1.0
471,2024-02-21 22:02:48,120.32,21.635,-0.23400000000000887,1.0030000000000001,0.27476370615458234,-0.3553270945898892,2,1.0
475,2024-02-23 22:03:48,120.254,25.137,-0.10599999999999454,0.14499999999999957,0.5180734342795869,-0.36924221825911124,2,1.0
476,2024-02-24 10:20:48,120.36,24.992,0.019000000000005457,-0.4579999999999984,0.5079992165245539,-0.3468936863055094,2,1.0
480,2024-02-26 10:23:48,120.531,20.045,0.3960000000000008,2.5330000000000013,0.16429469766835808,-0.31084086588979,2,1.0
482,2024-02-27 10:26:48,120.238,17.151,-0.47799999999999443,-4.3679999999999986,-0.03677279324933576,-0.37261558157286373,2,1.0
486,2024-02-29 10:21:48,120.77,24.894,0.2740000000000009,1.788999999999998,0.5011904348694279,-0.2604512513906306,2,1.0
492,2024-03-03 10:21:48,120.741,29.775,-0.4719999999999942,-7.823999999999998,0.8403094477129881,-0.2665654723968042,3,1.0
495,2024-03-04 21:54:48,120.657,30.533,0.15399999999999636,-4.429000000000002,0.8929732894944713,-0.28427562979399973,3,1.0
499,2024-03-06 21:53:48,120.414,32.221,0.03100000000000591,-3.932000000000002,1.010251079635821,-0.335508585121598,3,1.0
506,2024-03-30 09:57:48,127.735,1.248,1.2870000000000061,-13.724,-1.1416713102030618,1.2080159661267744,3,1.0
512,2024-04-04 21:34:48,123.333,-26.104,-0.8389999999999986,-10.755999999999998,-3.04201616562143,0.27991938443092157,4,1.0
522,2024-04-09 21:20:48,125.738,-12.493,4.784000000000006,36.556,-2.0963597665610543,0.7869780575291784,4,1.0
535,2024-04-16 10:12:48,126.085,15.803,-2.096999999999994,9.857000000000001,-0.13042827968922896,0.8601378743961605,4,1.0
548,2024-04-22 21:07:48,126.748,-1.169,-1.8529999999999944,-7.859,-1.3095980985748883,0.9999216167097363,4,1.0
556,2024-04-26 21:08:48,123.455,9.801,-0.23199999999999932,-0.6989999999999998,-0.5474314173837687,0.3056412796982759,4,1.0
569,2024-05-03 10:19:48,123.506,9.977,-1.9879999999999995,6.542,-0.5352034013500734,0.3163938752608589,5,1.0
583,2024-05-10 10:24:48,121.274,6.223,-8.871999999999986,27.534,-0.7960214251596872,-0.15419030700746061,5,1.0
591,2024-05-14 10:38:48,125.765,25.103,-0.6269999999999953,1.424000000000003,0.5157112039094413,0.7926706081211341,5,1.0
592,2024-05-14 20:27:48,126.392,23.679,0.12299999999999045,0.3879999999999981,0.41677543781863396,0.9248642829787659,5,1.0
594,2024-05-15 20:28:48,125.647,24.435,-0.6280000000000001,-1.1159999999999997,0.46930032487246137,0.7677920536822186,5,1.0
598,2024-05-17 20:23:48,126.289,25.152,-0.0049999999999954525,0.11400000000000077,0.5191155947370042,0.9031482566464925,5,1.0
603,2024-05-20 10:41:48,126.572,26.435,19.99000000000001,-23.567000000000004,0.6082550525280893,0.9628146202584705,5,1.0
