,First,Longitude,Latitude,Longitude_difference,Latitude_difference,Latitdue_zlevel,Longitdue_zlevel,Month,class
0,2023-06-08 10:53:48,125.69,26.006,-0.5240000000000009,0.9009999999999998,0.5784492634459573,0.7768579675879238,6,1.0
1,2023-06-08 20:18:48,126.214,25.105,-0.1490000000000009,-0.2010000000000005,0.5158501586370968,0.8873356161132823,6,1.0
2,2023-06-09 10:49:48,126.363,25.306,-0.025000000000005684,0.08300000000000196,0.5298151087664875,0.9187500619725922,6,1.0
3,2023-06-09 20:17:48,126.388,25.223,1.3500000000000085,2.308,0.5240484875687788,0.92402094215033,6,1.0
4,2023-06-10 10:49:48,125.038,22.915,-1.2750000000000057,2.283999999999999,0.3636947318541841,0.6393934125525542,6,1.0
5,2023-06-10 20:28:48,126.313,20.631,-1.8999999999999915,-3.2749999999999986,0.205008432871457,0.9082083016171197,6,1.0
6,2023-06-11 10:39:48,128.213,23.906,1.0989999999999895,-1.7729999999999997,0.43254679940754776,1.3087951951250962,6,1.0
7,2023-06-11 20:13:48,127.114,25.679,0.5990000000000038,1.0079999999999991,0.5557301654742619,1.0770873025117993,6,1.0
8,2023-06-12 10:48:48,126.515,24.671,0.09900000000000375,-0.13100000000000023,0.4856969827358255,0.9507970134532308,6,1.0
9,2023-06-12 20:18:48,126.416,24.802,0.5990000000000038,1.0210000000000008,0.49479851739726916,0.9299243279493932,6,1.0
10,2023-06-13 10:49:48,125.817,23.781,0.47399999999998954,-0.7590000000000003,0.423862128929071,0.8036340388908245,6,1.0
11,2023-06-13 20:23:48,125.343,24.54,-0.6509999999999962,-1.0310000000000024,0.47659544807438187,0.7036981507209417,6,1.0
12,2023-06-14 10:53:48,125.994,25.571,0.09799999999999898,-0.13299999999999912,0.5482266101808583,0.8409518705492007,6,1.0
13,2023-06-14 20:18:48,125.896,25.704,-1.2759999999999962,-1.9619999999999997,0.5574670995699574,0.8202900202524737,6,1.0
14,2023-06-15 10:54:48,127.172,27.666,-0.652000000000001,1.022000000000002,0.6937816874001285,1.0893157445241466,6,1.0
15,2023-06-15 20:08:48,127.824,26.644,1.222999999999999,1.9669999999999987,0.6227758215681024,1.2267802995595163,6,1.0
16,2023-06-16 10:49:48,126.601,24.677,-0.902000000000001,1.5109999999999992,0.4861138469187924,0.9689288412646442,6,1.0
17,2023-06-16 20:18:48,127.503,23.166,0.597999999999999,1.033999999999999,0.3811335501749655,1.1591021980773792,6,1.0
18,2023-06-17 10:42:48,126.905,22.132,0.09799999999999898,-0.1559999999999988,0.3092939559770059,1.0330227442259212,6,1.0
19,2023-06-17 20:23:48,126.807,22.288,-0.777000000000001,-1.3039999999999985,0.32013242473414477,1.0123608939291941,6,1.0
20,2023-06-18 10:43:48,127.584,23.592,0.09799999999999898,-0.15300000000000225,0.41073090716561417,1.1761798498532463,6,1.0
21,2023-06-18 20:17:48,127.486,23.745,0.2220000000000084,0.37900000000000134,0.4213609438312698,1.1555179995565192,6,1.0
22,2023-06-19 10:44:48,127.264,23.366,-0.277000000000001,0.4720000000000013,0.3950290229405283,1.108712583578217,6,1.0
23,2023-06-19 20:19:48,127.541,22.894,-0.7770000000000152,-1.2900000000000027,0.36223570721379994,1.1671139359475382,6,1.0
24,2023-06-20 10:42:48,128.318,24.184,2.473000000000013,-3.8709999999999987,0.45186150655168017,1.3309328918715935,6,1.0
25,2023-06-20 20:13:48,125.845,28.055,0.3469999999999942,0.5240000000000009,0.7208083819291481,0.8095374246898908,6,1.0
26,2023-06-21 11:02:48,125.498,27.531,22.345,-21.985,0.6844022432833735,0.7363776078229085,6,1.0
27,2023-06-21 20:16:48,103.153,49.516,-0.777000000000001,-0.4549999999999983,2.2118620870378645,-3.974735095038024,6,1.0
28,2023-06-22 14:01:48,103.93,49.971,-25.399,26.031999999999996,2.2434742875795197,-3.8109161391139716,6,1.0
29,2023-06-22 20:10:48,129.329,23.939,0.3480000000000132,0.5730000000000004,0.4348395524138657,1.544087286259259,6,1.0
30,2023-06-23 10:38:48,128.981,23.366,1.597999999999999,-2.603999999999999,0.3950290229405283,1.4707166341851632,6,1.0
31,2023-06-23 20:13:48,127.383,25.97,2.097999999999999,3.4319999999999986,0.5759480783481559,1.1338019732242428,6,1.0
32,2023-06-24 10:51:48,125.285,22.538,-1.0260000000000105,1.774000000000001,0.3375017656910983,0.6914697087085914,6,1.0
33,2023-06-24 20:30:48,126.311,20.764,0.2230000000000132,0.384999999999998,0.2142489222605562,0.9077866312029018,6,1.0
34,2023-06-25 10:43:48,126.088,20.379,0.722999999999999,-1.2899999999999991,0.18750013718684794,0.860770380017489,6,1.0
35,2023-06-25 20:32:48,125.365,21.669,0.22399999999998954,0.3760000000000012,0.27712593652472794,0.708336525277348,6,1.0
36,2023-06-26 10:49:48,125.141,21.293,57.21600000000001,-38.357,0.2510024477254698,0.6611094388848306,6,1.0
37,2023-06-26 20:34:48,67.925,59.65,-0.4270000000000067,-0.09900000000000375,2.9159456920689313,-11.40203777109016,6,1.0
38,2023-06-27 18:27:48,68.352,59.749,-57.16799999999999,37.525000000000006,2.922823951087885,-11.31201113765442,6,1.0
39,2023-06-28 20:31:48,125.52,22.224,1.4749999999999943,2.597999999999999,0.3156858734491647,0.7410159823793149,6,1.0
40,2023-06-29 10:50:48,124.045,19.626,0.8500000000000085,-1.5559999999999974,0.135183682224504,0.4300340518928593,6,1.0
41,2023-06-29 20:43:48,123.195,21.182,-1.7750000000000057,-3.0770000000000017,0.2432904603405824,0.25082412584981467,6,1.0
