,First,Longitude,Latitude,Longitude_difference,Latitude_difference,distance(km),Latitdue_zlevel,Longitdue_zlevel,class
346,2023-12-22 9:48,120.556,19.437,0.187,0.42,151.3512371,0.096873895,-0.337856121,1
358,2023-12-28 9:57,119.922,17.582,-0.186,-0.446,54.2183577,-0.050975811,-0.465593827,1
386,2024-01-11 10:02,120.496,18.142,-0.299,-0.806,44.79463622,-0.006341938,-0.349944863,1
390,2024-01-13 10:02,120.315,19.357,0.079,0.119,6.943532162,0.090497627,-0.386412568,1
392,2024-01-14 10:03,120.407,18.885,-0.046,-0.194,43.17043994,0.052877648,-0.367876496,1
409,2024-01-22 22:10,120.706,19.629,-0.282,0.678,18.06162361,0.112176937,-0.307634266,1
415,2024-01-25 22:10,120.14,18.185,0.098,-0.409,147.7792243,-0.002914694,-0.421671398,1
421,2024-01-28 22:11,119.919,18.57,-0.022,-0.069,22.17829945,0.027771094,-0.466198265,1
422,2024-01-29 10:14,119.941,18.639,-0.147,-0.601,8.015092895,0.033270625,-0.461765726,1
431,2024-02-02 22:08,120.732,19.703,-0.514,1.581,24.84620766,0.118074984,-0.302395811,1
434,2024-02-04 10:15,120.522,18.46,0.114,0.227,163.6729139,0.019003726,-0.344706408,1
442,2024-02-08 10:17,120.091,20.022,-0.13,-0.722,74.98680253,0.143500352,-0.431543871,1
447,2024-02-10 22:06,120.482,19.684,-0.125,0.283,26.46522215,0.116560621,-0.352765569,1
453,2024-02-13 22:05,120.349,19.563,0.004,-0.286,89.21377886,0.106916516,-0.37956228,1
459,2024-02-16 22:03,120.438,19.47,0.133,-0.973,178.0058455,0.099504105,-0.361630646,1
474,2024-02-24 10:20,120.36,24.992,0.019,-0.458,19.33784108,0.539625979,-0.377346011,1
475,2024-02-24 22:02,120.341,25.45,-0.606,3.689,50.96312905,0.576130111,-0.381174113,1
477,2024-02-25 21:57,120.552,19.409,0.021,-0.636,264.742342,0.094642201,-0.338662037,1
481,2024-02-27 21:56,120.716,21.519,0.148,-1.886,488.2802862,0.26281626,-0.305619475,1
483,2024-02-28 21:57,120.67,25.022,-0.1,0.128,180.0994671,0.542017079,-0.314887511,1
502,2024-03-28 21:34,121.096,5.656,0.037,0.766,530.2532866,-1.001517911,-0.229057443,0
503,2024-03-30 21:08,126.448,14.972,-1.713,-12.177,1532.568393,-0.259001543,0.849258342,0
512,2024-04-07 21:25,126.623,-33.01,-0.841,-9.001,1920.730181,-4.08332747,0.884517173,0
528,2024-04-15 21:11,124.364,8.058,-1.721,-7.745,591.5000571,-0.810070475,0.429376037,0
529,2024-04-16 10:12,126.085,15.803,-2.097,9.857,881.2882556,-0.192768063,0.776121453,0
530,2024-04-16 20:57,128.182,5.946,1.279,6.582,1119.649001,-0.97840394,1.198622985,0
538,2024-04-20 19:50,134.095,38.7,9.651,29.493,295.2537073,1.63219944,2.389968508,1
539,2024-04-21 10:13,124.444,9.207,-2.476,10.946,3417.917152,-0.718491331,0.44549436,0
540,2024-04-21 21:07,126.92,-1.739,0.024,0.101,1247.667877,-1.590924151,0.944356446,0
546,2024-04-24 20:55,127.66,6.975,3.396,14.112,285.9778949,-0.896389198,1.09345093,1
548,2024-04-25 21:22,122.869,-1.191,-1.73,-6.85,679.0079288,-1.547246718,0.128164883,0
553,2024-04-28 10:07,121.151,-9.749,-2.233,8.847,1748.958182,-2.229347949,-0.217976096,0
554,2024-04-28 21:37,123.384,-18.596,-1.984,-8.047,1012.702224,-2.934483447,0.231926585,0
561,2024-05-02 10:23,123.905,14.443,-0.488,1.605,69.26748701,-0.301164613,0.336897161,1
565,2024-05-04 10:03,116.608,-27.415,-2.49,7.421,3560.288905,-3.637387251,-1.133295343,0
567,2024-05-05 9:43,128.964,-1.732,3.135,-10.112,3820.207342,-1.590366227,1.356179589,0
577,2024-05-10 10:24,121.274,6.223,-8.872,27.534,1227.614646,-0.956326114,-0.193194175,0
594,2024-05-18 20:23,127.425,22.678,0.493,1.122,286.5130642,0.355192437,1.046103357,1
595,2024-05-19 10:29,126.932,21.556,1.492,-2.866,134.70063,0.265765284,0.946774194,1
