,First,Longitude,Latitude,Longitude_difference,Latitude_difference,distance(km)
0,2023-06-10 10:41:00,127.488,23.344,0.4749999999999943,-0.7659999999999982,97.94282735953938
1,2023-06-10 20:18:00,127.013,24.11,-0.6499999999999915,-1.0380000000000003,132.8093384703018
2,2023-06-11 10:45:00,127.663,25.148,0.22400000000000375,-0.33000000000000185,348.984741203519
3,2023-06-12 10:47:00,125.715,22.564,0.9740000000000038,-1.6189999999999998,205.64867821450392
4,2023-06-12 20:27:00,124.741,24.183,-1.1509999999999962,-1.841000000000001,235.23619079778632
5,2023-06-13 10:55:00,125.892,26.024,-0.40100000000001046,0.6700000000000017,84.6457262065591
6,2023-06-13 20:18:00,126.293,25.354,-0.15099999999999625,-0.2170000000000023,28.496207243327518
7,2023-06-14 10:52:00,126.444,25.571,0.597999999999999,-0.921999999999997,118.66113107014382
8,2023-06-14 20:17:00,125.846,26.493,-0.6509999999999962,-0.9830000000000005,126.91909932033924
9,2023-06-15 10:57:00,126.497,27.476,-0.027000000000001023,0.06199999999999761,7.391026783268502
10,2023-06-15 20:12:00,126.524,27.414,-0.527000000000001,-0.7739999999999974,100.46902924555923
11,2023-06-16 10:57:00,127.051,28.188,-0.902000000000001,1.3870000000000005,178.04761115723733
12,2023-06-16 20:08:00,127.953,26.801,0.847999999999999,1.3489999999999966,172.24140459858475
13,2023-06-17 10:50:00,127.105,25.452,0.722999999999999,-1.125,144.45812857796824
14,2023-06-17 20:15:00,126.382,26.577,-0.902000000000001,-1.3639999999999972,175.93299574155122
15,2023-06-18 10:56:00,127.284,27.941,-0.277000000000001,0.4269999999999996,54.75124408689519
16,2023-06-18 20:08:00,127.561,27.514,0.5970000000000084,0.9250000000000007,118.63538114166626
17,2023-06-19 10:54:00,126.964,26.589,0.09799999999999898,-0.14500000000000313,18.836053842797362
18,2023-06-19 20:13:00,126.866,26.734,-0.027000000000001023,-0.036999999999999034,4.910596712648602
19,2023-06-20 10:55:00,126.893,26.771,0.597999999999999,-0.9089999999999989,117.09977390276266
20,2023-06-20 20:13:00,126.295,27.68,-0.027999999999991587,-0.03999999999999915,5.232775476084184
21,2023-06-21 11:00:00,126.323,27.72,0.722999999999999,-1.0730000000000004,138.7433531994297
22,2023-06-21 20:13:00,125.6,28.793,-0.402000000000001,-0.5860000000000021,75.97213369245323
23,2023-06-22 11:06:00,126.002,29.379,-0.402000000000001,0.578000000000003,75.20977858784873
24,2023-06-22 20:10:00,126.404,28.801,0.22299999999999898,0.32099999999999795,41.80471459428493
25,2023-06-23 11:03:00,126.181,28.48,-0.402000000000001,0.5890000000000022,76.4314511201923
26,2023-06-23 20:12:00,126.583,27.891,0.972999999999999,1.4769999999999968,190.36784564329582
27,2023-06-24 11:00:00,125.61,26.414,-0.15099999999999625,0.22500000000000142,29.197799869867122
28,2023-06-24 20:20:00,125.761,26.189,-0.902000000000001,-1.4029999999999987,179.83074551215904
29,2023-06-25 10:59:00,126.663,27.592,-0.27599999999999625,0.4049999999999976,52.63633385241761
30,2023-06-25 20:13:00,126.939,27.187,-0.15200000000000102,-0.24899999999999878,31.498015873748876
31,2023-06-26 10:57:00,127.091,27.436,-0.5260000000000105,0.7899999999999991,96.93356155426173
32,2023-07-05 20:14:00,126.923,28.295,1.4789999999999992,2.2860000000000014,293.294496574664
33,2023-07-06 11:00:00,125.444,26.009,-0.2710000000000008,0.3880000000000017,50.96293829346322
34,2023-07-06 20:26:00,125.715,25.621,-0.394999999999996,-0.7050000000000018,87.77505344594775
35,2023-07-07 10:58:00,126.11,26.326,-0.14499999999999602,0.17600000000000193,24.33405706587704
36,2023-07-07 20:23:00,126.255,26.15,0.6059999999999945,0.9439999999999991,121.26915548499016
37,2023-07-08 10:57:00,125.649,25.206,0.48099999999999454,-0.865000000000002,107.59302185757687
38,2023-07-08 20:28:00,125.168,26.071,-0.8939999999999912,-1.514999999999997,190.3868737989871
39,2023-07-09 11:01:00,126.062,27.586,1.7319999999999993,-2.735000000000003,347.67143948359393
40,2023-07-09 20:21:00,124.33,30.321,1.1069999999999993,1.6080000000000005,185.65404153664485
41,2023-07-12 20:26:00,122.805,31.357,0.6100000000000136,0.820999999999998,108.24998257059265
42,2023-07-13 11:23:00,122.195,30.536,-0.76400000000001,1.0869999999999997,141.5009196627658
43,2023-07-13 20:31:00,122.959,29.449,-1.3889999999999958,-2.196999999999999,835.917178882765
44,2023-07-22 10:45:00,126.246,22.535,0.6199999999999903,-1.3339999999999996,161.3004165509351
45,2023-07-22 20:38:00,125.626,23.869,-1.5030000000000001,-2.9529999999999994,361.41865656244875
46,2023-07-23 10:50:00,127.129,26.822,0.24600000000000932,-0.5730000000000004,68.20869716886601
47,2023-07-23 20:26:00,126.883,27.395,0.37299999999999045,0.5539999999999985,71.8164047989637
48,2023-07-24 10:52:00,126.51,26.841,-0.12699999999999534,0.10800000000000054,17.410819054214702
49,2023-07-24 20:29:00,126.637,26.733,-0.2510000000000048,-0.5949999999999989,70.67774427690468
50,2023-07-25 10:51:00,126.888,27.328,0.24900000000000944,-0.5910000000000011,70.14560030144868
51,2023-07-25 20:27:00,126.639,27.919,-0.125,-0.36400000000000077,42.2912557247497
52,2023-07-26 10:53:00,126.764,28.283,-0.25,0.3180000000000014,43.02772822404466
53,2023-07-26 20:26:00,127.014,27.965,0.25199999999999534,0.3269999999999982,44.005410931952895
54,2023-07-27 10:51:00,126.762,27.638,-0.3739999999999952,0.5650000000000013,72.87846065585484
55,2023-07-27 20:28:00,127.136,27.073,0.1280000000000001,0.10200000000000031,17.01174762581347
