,First,Longitude,Latitude,Longitude_difference,Latitude_difference,distance(km)
0,2023-06-10 20:08:53,127.667,26.747,-0.7750000000000057,-1.1600000000000001,149.99434780561006
1,2023-06-11 10:48:53,128.442,27.907,0.47400000000000375,-0.6780000000000008,88.54039136402166
2,2023-06-11 20:02:53,127.968,28.585,0.8490000000000038,1.3240000000000016,169.2087162433712
3,2023-06-12 10:52:53,127.119,27.261,0.10099999999999909,-0.12300000000000111,151.82218027158956
4,2023-06-14 20:07:54,126.746,28.586,-1.1510000000000105,-1.6410000000000018,213.83428830462788
5,2023-06-15 10:58:54,127.897,30.227,-0.15200000000000102,0.23700000000000188,30.137521112689463
6,2023-06-15 19:58:54,128.049,29.99,0.2230000000000132,0.33899999999999864,43.4019592964365
7,2023-06-16 10:57:54,127.826,29.651,-0.7750000000000057,1.1460000000000008,148.0206521829876
8,2023-06-16 20:00:54,128.601,28.505,1.9749999999999943,3.0529999999999973,391.83085491708204
9,2023-06-17 10:51:55,126.626,25.452,1.222999999999999,-1.8939999999999984,243.28780218753124
10,2023-06-17 20:16:55,125.403,27.346,-2.027000000000001,-2.951999999999998,383.0453260973474
11,2023-06-18 11:01:55,127.43,30.298,-0.4019999999999868,0.5799999999999983,75.21753361962415
12,2023-06-18 20:00:55,127.832,29.718,0.597999999999999,0.8709999999999987,112.88793520661285
13,2023-06-19 10:58:55,127.234,28.847,-0.1530000000000058,0.23000000000000043,29.60782365680922
14,2023-06-19 20:05:55,127.387,28.617,-0.027000000000001023,-0.03500000000000014,4.6999867197995995
15,2023-06-20 10:57:55,127.414,28.652,0.22500000000000853,-0.3260000000000005,42.362233433838455
16,2023-06-20 20:05:55,127.189,28.978,-0.2750000000000057,-0.39699999999999847,51.5902108428732
17,2023-06-21 10:59:56,127.464,29.375,0.847999999999999,-1.1999999999999993,156.44765773512637
18,2023-06-21 20:03:56,126.616,30.575,0.0969999999999942,0.13299999999999912,17.466121303809786
19,2023-06-22 11:06:56,126.519,30.442,0.09799999999999898,-0.14099999999999824,18.274308633847333
20,2023-06-22 20:04:56,126.421,30.583,0.4730000000000132,0.657,86.02916450526097
21,2023-06-23 11:07:56,125.948,29.926,-0.652000000000001,0.9269999999999996,120.86930299534984
22,2023-06-23 20:08:56,126.6,28.999,1.9749999999999943,2.9800000000000004,384.3477102344737
23,2023-06-24 11:02:56,124.625,26.019,-0.7740000000000009,1.225999999999999,156.93262403516275
24,2023-06-24 20:24:57,125.399,24.793,-1.6509999999999962,-2.6090000000000018,333.66861066005805
25,2023-06-25 10:56:57,127.05,27.402,0.22299999999999898,-0.3550000000000004,45.18050832045125
26,2023-06-25 20:11:57,126.827,27.757,-0.5259999999999962,-0.8039999999999985,103.20584590746613
27,2023-06-26 10:58:57,127.353,28.561,-0.5260000000000105,0.7659999999999982,782.0392025855657
28,2023-06-29 10:59:58,123.379,22.509,-0.8999999999999915,1.5489999999999995,195.72403174417732
29,2023-06-29 20:39:58,124.279,20.96,-1.524000000000001,-2.6709999999999994,335.837502219278
30,2023-06-30 10:52:58,125.803,23.631,1.2249999999999943,-2.0519999999999996,259.58551752118234
31,2023-06-30 20:27:58,124.578,25.683,-1.774000000000001,-2.7920000000000016,356.67873323521746
32,2023-07-01 11:02:58,126.352,28.475,-0.5240000000000009,0.7550000000000026,98.43669296325992
33,2023-07-01 20:13:58,126.876,27.72,2.2280000000000086,3.5329999999999977,451.58076144938985
34,2023-07-02 10:58:58,124.648,24.187,0.7289999999999992,-1.2449999999999974,156.77569109965407
35,2023-07-02 20:31:59,123.919,25.432,-1.5229999999999961,-2.4520000000000017,311.82980520693417
36,2023-07-03 11:04:59,125.442,27.884,0.35199999999998965,-0.5839999999999996,598.3566386702479
37,2023-07-05 11:18:59,125.656,33.262,-1.5210000000000008,2.022000000000002,266.4677904723088
38,2023-07-05 20:04:59,127.177,31.24,1.9810000000000088,2.8599999999999994,371.01181230652287
39,2023-07-06 11:06:59,125.196,28.38,-0.5190000000000055,0.7459999999999987,97.34960528354121
40,2023-07-06 20:21:00,125.715,27.634,0.480000000000004,0.7020000000000017,91.3416466144056
41,2023-07-07 11:03:00,125.235,26.932,-0.519999999999996,0.782,101.17691120685708
42,2023-07-07 20:25:00,125.755,26.15,-0.26900000000000546,-0.5010000000000012,61.81628213737373
43,2023-07-08 10:59:00,126.024,26.651,-0.019000000000005457,-0.03399999999999892,4.225817402042285
44,2023-07-08 20:23:00,126.043,26.685,-0.39399999999999125,-0.7010000000000005,87.17008743006164
45,2023-07-09 10:59:00,126.437,27.386,-0.14300000000000068,0.1609999999999978,22.80627714602603
46,2023-07-09 20:20:00,126.58,27.225,0.10899999999999466,0.10700000000000287,16.05694767246985
47,2023-07-10 10:58:00,126.471,27.118,1.8599999999999994,-2.9810000000000016,377.92511010359027
48,2023-07-10 20:21:01,124.611,30.099,-0.6419999999999959,-1.0300000000000011,129.96764459402755
49,2023-07-11 11:13:01,125.253,31.129,-1.7660000000000053,2.607000000000003,336.2222213164966
50,2023-07-11 20:16:01,127.019,28.522,1.1090000000000089,1.7159999999999975,219.85361124125262
51,2023-07-12 10:59:01,125.91,26.806,-0.39000000000000057,0.5740000000000016,74.69550690088772
52,2023-07-12 20:25:01,126.3,26.232,-0.14000000000000057,-0.31599999999999895,37.80361363116179
53,2023-07-13 10:56:01,126.44,26.548,0.6099999999999994,-1.0980000000000025,136.20740764164034
54,2023-07-13 20:24:01,125.83,27.646,0.36299999999999955,0.5139999999999993,67.46131161391376
